"station","region","state","station_code","first date","height","longitude","latitude"
SANTO ANTONIO DO LESTE,CO,MT,A931,"2008-05-30",664.21,-53.8836111,-14.92777777
ITABERABA,NE,BA,A408,"2003-01-29",250.11,-40.29972221,-12.51666666
BRASNORTE (MUNDO NOVO),CO,MT,A927,"2008-02-29",431.0,-58.38722221,-12.87194443
TRAMANDAI,S,RS,A834,"2008-03-09",4.56,-50.13527777,-30.00972222
JANAUBA,SE,MG,A563,"2016-11-19",532.0,-43.29694444,-15.80277777
SOURE,N,PA,A227,"2008-04-27",12.54,-48.51583333,-0.72777777
CALDAS,SE,MG,A530,"2006-11-28",1150.0,-46.382996,-21.91805554
EIRUNEPE,N,AM,A109,"2012-08-31",143.0,-69.86694443,-6.65027777
ARAGARCAS,CO,GO,A013,"2007-07-13",347.0,-52.24388888,-15.902658
ALTO ARAGUAIA,CO,MT,A909,"2011-09-22",753.28,-53.22416666,-17.33944444
PIRIPIRI,NE,PI,A335,"2007-08-31",161.2,-41.77805554,-4.26388888
